address,full_address,Latitude,Longitude,dist_mrt,near_mrt
564 ANG MO KIO AVE 3 SINGAPORE,"564, Ang Mo Kio Avenue 3, Cheng San Place, Ang Mo Kio, Singapore, Central, 560564, Singapore",1.36989185,103.85943216489414,1.097644041260482,ANG MO KIO MRT STATION
560 ANG MO KIO AVE 10 SINGAPORE,"560, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560560, Singapore",1.3707993,103.85919120619336,1.0751739859835232,ANG MO KIO MRT STATION
558 ANG MO KIO AVE 10 SINGAPORE,"558, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560558, Singapore",1.37127495,103.8591842845461,1.0804352286342545,ANG MO KIO MRT STATION
559 ANG MO KIO AVE 10 SINGAPORE,"559, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560559, Singapore",1.37103165,103.8578528839324,0.9301359517231477,ANG MO KIO MRT STATION
538 ANG MO KIO AVE 5 SINGAPORE,"538, Ang Mo Kio Avenue 5, Cheng San View, Ang Mo Kio, Singapore, Central, 560538, Singapore",1.3753714,103.85369875711666,0.7599848514471249,ANG MO KIO MRT STATION
534 ANG MO KIO AVE 10 SINGAPORE,"534, Ang Mo Kio Avenue 10, Cheng San View, Ang Mo Kio, Singapore, Central, 560534, Singapore",1.3741543,103.85380151282592,0.66547207507599,ANG MO KIO MRT STATION
601 ANG MO KIO AVE 5 SINGAPORE,"601, Ang Mo Kio Avenue 5, Lentor, Ang Mo Kio, Singapore, Central, 560601, Singapore",1.3809870000000002,103.835075543038,1.1006939832671048,YIO CHU KANG MRT STATION (NS15)
603 ANG MO KIO AVE 5 SINGAPORE,"603, Ang Mo Kio Avenue 5, Lentor, Ang Mo Kio, Singapore, Central, 560603, Singapore",1.3801792,103.83575158255286,1.0371435941214422,YIO CHU KANG MRT STATION (NS15)
604 ANG MO KIO AVE 5 SINGAPORE,"604, Ang Mo Kio Avenue 5, Lentor, Ang Mo Kio, Singapore, Central, 560603, Singapore",1.37987235,103.8359748128836,1.019155633340713,YIO CHU KANG MRT STATION (NS15)
608 ANG MO KIO AVE 5 SINGAPORE,"608, Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 560603, Singapore",1.37873095,103.83694926889964,0.9505786225686833,YIO CHU KANG MRT STATION (NS15)
611 ANG MO KIO AVE 5 SINGAPORE,"611, Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560180, Singapore",1.3783059999999998,103.8372560460692,0.9370931759199029,YIO CHU KANG MRT STATION (NS15)
505 ANG MO KIO AVE 8 SINGAPORE,"505, Ang Mo Kio Avenue 8, Cheng San Crest, Ang Mo Kio, Singapore, Central, 560505, Singapore",1.3748722,103.8503768,0.5567208245479656,ANG MO KIO MRT STATION
503 ANG MO KIO AVE 5 SINGAPORE,"503, Ang Mo Kio Avenue 5, Cheng San Crest, Ang Mo Kio, Singapore, Central, 560503, Singapore",1.37545765,103.84888911809796,0.6188152586185816,ANG MO KIO MRT STATION
610 ANG MO KIO AVE 4 SINGAPORE,"Ang Mo Kio Avenue 4, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3822264,103.838766,0.6891161008106503,YIO CHU KANG MRT STATION (NS15)
607 ANG MO KIO AVE 4 SINGAPORE,"Ang Mo Kio Avenue 4, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3822264,103.838766,0.6891161008106503,YIO CHU KANG MRT STATION (NS15)
524 ANG MO KIO AVE 5 SINGAPORE,"524, Ang Mo Kio Avenue 5, Ang Mo Kio, Singapore, Central, 560524, Singapore",1.37337485,103.8530471456084,0.5449000203049723,ANG MO KIO MRT STATION
513 ANG MO KIO AVE 8 SINGAPORE,"513, Ang Mo Kio Avenue 8, Cheng San Crest, Ang Mo Kio, Singapore, Central, 560513, Singapore",1.37293705,103.85037044402092,0.34604292483026794,ANG MO KIO MRT STATION
643 ANG MO KIO AVE 5 SINGAPORE,"Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560180, Singapore",1.37703,103.8383289,0.9041145712381579,YIO CHU KANG MRT STATION (NS15)
542 ANG MO KIO AVE 10 SINGAPORE,"542, Ang Mo Kio Avenue 10, Cheng San Green, Ang Mo Kio, Singapore, Central, 560542, Singapore",1.37474125,103.85586670489434,0.8818582400970661,ANG MO KIO MRT STATION
548 ANG MO KIO AVE 10 SINGAPORE,"548, Ang Mo Kio Avenue 10, Cheng San Place, Ang Mo Kio, Singapore, Central, 560548, Singapore",1.37292085,103.85705654606744,0.8973295493877405,ANG MO KIO MRT STATION
550 ANG MO KIO AVE 10 SINGAPORE,"550, Ang Mo Kio Avenue 10, Cheng San Green, Ang Mo Kio, Singapore, Central, 560550, Singapore",1.37362165,103.85822445508936,1.047066055713148,ANG MO KIO MRT STATION
639 ANG MO KIO AVE 6 SINGAPORE,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore",1.3855158,103.8432669,0.457916787539689,YIO CHU KANG MRT STATION (NS15)
637 ANG MO KIO AVE 6 SINGAPORE,"Ang Mo Kio Avenue 6, Ang Mo Kio, Singapore, Central, 569845, Singapore",1.3855158,103.8432669,0.457916787539689,YIO CHU KANG MRT STATION (NS15)
330 ANG MO KIO AVE 1 SINGAPORE,"Soon Hock Store, 330, Ang Mo Kio Avenue 1, Ang Mo Kio, Singapore, Central, 560330, Singapore",1.3625772,103.8508679,0.8307709355498447,ANG MO KIO MRT STATION
333 ANG MO KIO AVE 1 SINGAPORE,"333, Ang Mo Kio Avenue 1, Marymount, Bishan, Singapore, Central, 560333, Singapore",1.3613534500000002,103.85168816395225,0.9829338995295777,ANG MO KIO MRT STATION
156 ANG MO KIO AVE 4 SINGAPORE,"156, Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 560616, Singapore",1.3755022499999998,103.83995684140612,0.8895450252671386,YIO CHU KANG MRT STATION (NS15)
152 ANG MO KIO AVE 5 SINGAPORE,"152, Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560616, Singapore",1.37667755,103.84016711967656,0.7753890366808753,YIO CHU KANG MRT STATION (NS15)
178 ANG MO KIO AVE 4 SINGAPORE,"178, Ang Mo Kio Avenue 4, Kebun Baru, Ang Mo Kio, Singapore, Central, 569898, Singapore",1.3763809,103.8368214100198,1.083120524130003,YIO CHU KANG MRT STATION (NS15)
180 ANG MO KIO AVE 5 SINGAPORE,"SAC centre, 180, Ang Mo Kio Avenue 5, Kebun Baru, Ang Mo Kio, Singapore, Central, 560180, Singapore",1.3767146,103.8385975,0.9013707486647897,YIO CHU KANG MRT STATION (NS15)
209 ANG MO KIO AVE 3 SINGAPORE,"209, Ang Mo Kio Avenue 3, Ang Mo Kio, Singapore, Central, 560209, Singapore",1.3689767000000002,103.84327080036569,0.7069565935636783,ANG MO KIO MRT STATION
231 ANG MO KIO AVE 3 SINGAPORE,"231, Ang Mo Kio Avenue 3, Kebun Baru, Ang Mo Kio, Singapore, Central, 560231, Singapore",1.36857275,103.83751203839944,1.3475927398331944,ANG MO KIO MRT STATION
254 ANG MO KIO AVE 4 SINGAPORE,"Ang Mo Kio Avenue 4, Lentor, Ang Mo Kio, Singapore, Central, 560622, Singapore",1.3822264,103.838766,0.6891161008106503,YIO CHU KANG MRT STATION (NS15)
